created_at,username,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,tweet_url
Sun Dec 25 06:05:12 +0000 2022,sebhayu,IKN Nusantara punya potensi kembangkan infrastuktur #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/6Pk0RDrJjo,0,0,0,0,in,1395930975549280259,1606893805424332800,https://x.com/sebhayu/status/1606893805424332800
Sat Dec 24 07:25:13 +0000 2022,Samsina69202758,IKN Nusantara punya potensi kembangkan infrastuktur #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/KHymmiP0k8,0,0,0,0,in,1356912875470802946,1606551554693238790,https://x.com/Samsina69202758/status/1606551554693238790
Sat Dec 24 06:05:35 +0000 2022,halaucovid,IKN Nusantara punya potensi kembangkan infrastuktur #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/rDZ0bZdYGO,0,0,0,0,in,1564467295002705920,1606531514371555328,https://x.com/halaucovid/status/1606531514371555328
Sat Dec 24 06:05:24 +0000 2022,sebhayu,IKN Nusantara punya potensi kembangkan infrastuktur #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/svXw66uMCE,0,0,0,0,in,1395930975549280259,1606531466527232003,https://x.com/sebhayu/status/1606531466527232003
Fri Dec 23 06:10:24 +0000 2022,KulopJambi_NKRI,Pemerintah kebut pengembangan infrastuktur hunian di IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/jI254BjR1q,0,0,0,0,in,2505661556,1606170339725266945,https://x.com/KulopJambi_NKRI/status/1606170339725266945
Fri Dec 23 06:01:00 +0000 2022,sebhayu,Pemerintah kebut pengembangan infrastuktur hunian di IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/O834cnf1wL,0,0,0,0,in,1395930975549280259,1606167973223448576,https://x.com/sebhayu/status/1606167973223448576
Fri Dec 23 06:00:51 +0000 2022,halaucovid,Pemerintah kebut pengembangan infrastuktur hunian di IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/nnwattxwQ6,0,0,0,0,in,1564467295002705920,1606167936602972160,https://x.com/halaucovid/status/1606167936602972160
Thu Dec 22 08:10:06 +0000 2022,KulopJambi_NKRI,Pemerintah kebut pengembangan infrastuktur hunian di IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/fpr1vNMeSC,0,0,0,0,in,2505661556,1605838073354395649,https://x.com/KulopJambi_NKRI/status/1605838073354395649
Thu Dec 22 06:00:57 +0000 2022,sebhayu,Pemerintah kebut pengembangan infrastuktur hunian di IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/ftxJKXYGp9,0,0,0,0,in,1395930975549280259,1605805570262536193,https://x.com/sebhayu/status/1605805570262536193
Thu Dec 22 06:00:43 +0000 2022,halaucovid,Pemerintah kebut pengembangan infrastuktur hunian di IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/pIaARTs8Gc,0,0,0,0,in,1564467295002705920,1605805512712486912,https://x.com/halaucovid/status/1605805512712486912
Wed Dec 21 07:27:03 +0000 2022,detektifcoonan,Pembangunan IKN sukses membuat berbagai infrastuktur penunjang yang berdampak sangat positif #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/0PIOrkd0Wo,0,0,0,1,in,1409016873048444937,1605464851035279361,https://x.com/detektifcoonan/status/1605464851035279361
